profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
-5350,-3800,-5750,-6000,-5050,-5650,-3250,-1250,-5650,-3250,-3100,-2250,-2400,-5700,-3500,-5000,-4800,-4600,-3900,-3800,-3950,-4200,-4250,-5100,-4400
-5350,-3750,-5750,-6300,-5050,-5650,-3300,-1300,-5600,-3750,-3100,-2250,-2400,-5700,-3800,-5050,-4800,-4600,-3900,-3800,-3950,-4200,-4250,-5100,-4400
-5350,-3750,-5750,-6300,-5000,-5850,-3300,-1300,-5600,-3750,-3150,-2250,-2350,-5750,-3800,-5050,-5000,-4600,-3950,-3800,-3950,-3650,-4000,-5150,-4400
-5350,-3750,-5950,-5950,-5000,-5850,-3850,-1350,-5700,-3700,-3150,-1950,-2350,-5750,-3800,-5100,-5000,-4600,-3950,-3800,-3300,-3650,-4000,-5150,-4400
-4700,-3750,-5950,-5950,-4950,-5900,-3850,-1350,-5700,-3700,-2550,-1950,-2300,-5800,-3800,-5100,-4950,-4350,-3950,-3850,-3300,-3650,-4000,-5200,-4350
-4700,-3700,-6650,-5950,-4950,-5900,-3800,-1400,-5500,-3150,-2550,-1950,-2300,-5800,-3800,-5150,-4950,-4350,-3950,-3850,-3300,-3650,-4000,-5200,-4350
-4700,-3700,-6650,-5950,-4900,-5550,-3800,-1400,-5550,-3150,-2600,-1950,-2500,-5850,-3800,-5150,-4750,-4350,-3950,-3900,-3300,-3650,-4000,-5250,-4350
-4700,-3700,-4850,-5900,-4900,-5550,-3750,-1450,-3800,-3400,-2600,-1900,-2500,-5850,-3750,-5200,-4750,-4350,-3950,-3900,-3350,-3700,-4000,-5250,-4350
-4700,-3700,-4850,-5900,-4850,-5700,-3750,-1450,-3800,-3400,-2650,-1900,-2550,-5900,-3750,-5200,-4700,-4400,-3950,-3900,-3350,-3700,-4000,-5300,-4300
-4750,-3650,-4900,-5900,-4850,-5700,-3700,-1500,-3800,-3500,-2650,-1900,-2550,-5900,-3750,-5250,-4700,-4400,-3300,-3900,-3350,-3700,-4000,-5300,-4300
-4750,-3650,-4900,-5900,-4800,-5650,-3700,-1500,-3800,-3500,-2700,-1900,-2600,-5500,-3750,-5250,-5250,-4400,-3300,-3900,-3350,-3700,-4000,-5350,-4300
